# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.047$;0.6477562044467658;0.6819088424191495;0.6477562044467658;0.7136914265897528;0.9157433651120845;0.01359977796280877;0.8871527777777778;0.0072162087149597555
$\pi_T = 0.066$;0.5525119946688287;0.5674270620463182;0.5525119946688287;0.6123421294238078;0.9242581988547631;0.014432417429919511;0.9099974431091792;0.012212045517624202
$\pi_T = 0.092$;0.4811320325357827;0.4863737805022962;0.4811320325357827;0.49936759147718146;0.9323684210526316;0.01665278934221482;0.9282722513089006;0.01582014987510408
$\pi_T = 0.126$;0.42391123917914303;0.43514108428175025;0.42391123917914303;0.42641123917914303;0.9390146471371504;0.021371079655842354;0.9448924731182796;0.024424091035248403
$\pi_T = 0.170$;0.3554238439214851;0.3736342943440504;0.3554238439214851;0.363304894968162;0.9461206896551724;0.025256730502359145;0.9598782512451577;0.03719122953094643
$\pi_T = 0.225$;0.29805186620258023;0.3260279198119488;0.29805186620258023;0.304394671699118;0.9527451515979241;0.031917846239245075;0.9707552526973311;0.051068553982792114
$\pi_T = 0.293$;0.24713046928991111;0.2703634085125805;0.24713046928991111;0.26325754747811103;0.9596462133775566;0.03635859006383569;0.9775575633925969;0.06910907577019151
$\pi_T = 0.371$;0.20693489082585195;0.22882333264066917;0.20693489082585195;0.21781043150161114;0.9650251818690543;0.04274215931168471;0.9829799940280681;0.08631695809048015
$\pi_T = 0.456$;0.1711049910832936;0.1971002999847343;0.1711049910832936;0.17468061496870535;0.9688649872629493;0.04995836802664446;0.9871794871794872;0.10241465445462115
$\pi_T = 0.544$;0.16348535749420748;0.19187158221346498;0.16348535749420748;0.17847737355051044;0.9736992567181246;0.054676658340271994;0.9890040841972981;0.1262836525117957
$\pi_T = 0.629$;0.18943373252018592;0.24535128418032087;0.18943373252018592;0.20680484874776733;0.9753908511870295;0.0649458784346378;0.9909677419354839;0.14737718567860117
$\pi_T = 0.707$;0.22414082348485173;0.2855232954857091;0.22414082348485173;0.22913045508373386;0.9792276184903452;0.07105190119344991;0.9930624380574826;0.16569525395503748
$\pi_T = 0.775$;0.2440611401051089;0.36520683287100375;0.2440611401051089;0.2460039655283673;0.980247641509434;0.07715792395226201;0.9949392712550608;0.18151540383014156
$\pi_T = 0.830$;0.2623971347651696;0.42952925300825695;0.2623971347651696;0.2693743645328545;0.9832635983263598;0.08687205106855399;0.9958748710897215;0.19594782126006105
$\pi_T = 0.874$;0.28042669095978695;0.5281344369707534;0.28042669095978695;0.29319908624840757;0.9849352214522447;0.09270052733832918;0.9968287526427061;0.21482098251457118
$\pi_T = 0.908$;0.2841126165410921;0.6339948842894427;0.2841126165410921;0.32424703280056605;0.9868982327848873;0.10102692200943658;0.9971428571428571;0.225090202608937
$\pi_T = 0.934$;0.28935860061696744;0.8315072325673833;0.28935860061696744;0.3398152173570919;0.98740012292563;0.10824313072439634;0.9978308026030369;0.23397169025811823
$\pi_T = 0.953$;0.29682493392112314;1.0483010729833055;0.29682493392112314;0.39488243727639205;0.9884735202492212;0.11934499028587288;0.9978013924514474;0.24424091035248405
