# Prior;MinDCF;ActDCF;CalMinDCF;CalActDCF;TPR;FPR;CalTPR;CalFPR
$\pi_T = 0.047$;0.5992660968432048;0.6080160968432049;0.5992660968432048;0.6042660968432049;0.9071537290715372;0.00749375520399667;0.9078446306169079;0.00749375520399667
$\pi_T = 0.066$;0.5336770620463183;0.551759595735063;0.5336770620463183;0.5495933288906907;0.9243369734789392;0.013322231473771857;0.9262252346193952;0.013877324451845684
$\pi_T = 0.092$;0.46488203253578264;0.47789647359438386;0.46488203253578264;0.48141504066972823;0.9398616285258116;0.019705800721620873;0.9439978563772776;0.022203719122953096
$\pi_T = 0.126$;0.3988544029808867;0.40574774363131844;0.3988544029808867;0.40746694719305876;0.9529635671560631;0.02719955592561754;0.955725608089642;0.02941992783791285
$\pi_T = 0.170$;0.3304256156806812;0.33417561568068116;0.3304256156806812;0.3480324625406505;0.9618995030369961;0.03302803219539273;0.965671225230254;0.03968914793227866
$\pi_T = 0.225$;0.27941663137909073;0.28493908773672827;0.27941663137909073;0.2853492623061784;0.9703975190301664;0.0446849847349431;0.9751783166904422;0.05134610047182903
$\pi_T = 0.293$;0.23188692149037654;0.241916886668638;0.23188692149037654;0.247038277931061;0.9761494252873564;0.05717457674160422;0.97934845840605;0.06550097141271163
$\pi_T = 0.371$;0.1946353233664593;0.20156385168939803;0.1946353233664593;0.20086528011239857;0.9804093567251462;0.06938662225922843;0.983995257854179;0.07854565639744657
$\pi_T = 0.456$;0.15114613385946005;0.156867141642496;0.15114613385946005;0.1544494271948288;0.9851543942992874;0.0791007493755204;0.9885473176612417;0.08964751595892312
$\pi_T = 0.544$;0.13934782424461528;0.14659253100427885;0.13934782424461528;0.1424008356240213;0.9885438649381971;0.08992506244796003;0.9917228694052729;0.10213710796558423
$\pi_T = 0.629$;0.15638934311715988;0.15749952907330753;0.15638934311715988;0.16437287519171054;0.9917405934536555;0.10019428254232583;0.993127147766323;0.1176797113516514
$\pi_T = 0.707$;0.17701629017706363;0.18767916566882933;0.17701629017706363;0.18041142307777622;0.9925280199252802;0.11518179295031918;0.9946117274167987;0.12905911740216486
$\pi_T = 0.775$;0.19106615950020106;0.2031148335715928;0.19106615950020106;0.20173803366050336;0.9943181818181818;0.1257285595337219;0.9954940457032507;0.14154870940882597
$\pi_T = 0.830$;0.19736126539975365;0.22778095871907952;0.19736126539975365;0.21188367376045134;0.9952046035805626;0.1359977796280877;0.9970462750246144;0.15681376630585622
$\pi_T = 0.874$;0.20254086457291842;0.25521188185882593;0.20254086457291842;0.23081919863913058;0.99609375;0.15070774354704414;0.9976651100733822;0.16985845129059118
$\pi_T = 0.908$;0.20991271573552872;0.27169575813988184;0.20991271573552872;0.21925430813007626;0.9970345963756178;0.1601443241742992;0.9989830508474576;0.18207049680821538
$\pi_T = 0.934$;0.22040468388727932;0.2966731241078368;0.22040468388727932;0.2306739039816451;0.9976557267247154;0.17318900915903415;0.9993105825577387;0.19539272828198723
$\pi_T = 0.953$;0.23313905079100747;0.25988917867150163;0.23313905079100747;0.26087162748698683;0.9989799387963277;0.1845684152095476;0.9992972593113141;0.21065778517901748
