# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.047$;0.7623242797692585;0.7869674158293966;0.7623242797692585;0.7623242797692585;0.871682493304115;0.006383569247849014;0.9308159493002377;0.02164862614487927
$\pi_T = 0.066$;0.6330155930694774;0.6330155930694774;0.6330155930694774;0.6330155930694774;0.9308159493002377;0.02164862614487927;0.9308159493002377;0.02164862614487927
$\pi_T = 0.092$;0.5421609146529852;0.5421609146529852;0.5421609146529852;0.5421609146529852;0.9308159493002377;0.02164862614487927;0.9308159493002377;0.02164862614487927
$\pi_T = 0.126$;0.4783247347269678;0.5131743810295913;0.4783247347269678;0.5131743810295913;0.9636619718309859;0.05051346100471829;0.9636619718309859;0.05051346100471829
$\pi_T = 0.170$;0.4085185886881007;0.4085185886881007;0.4085185886881007;0.4085185886881007;0.9636619718309859;0.05051346100471829;0.9636619718309859;0.05051346100471829
$\pi_T = 0.225$;0.33498549048499715;0.33498549048499715;0.33498549048499715;0.33498549048499715;0.9636619718309859;0.05051346100471829;0.9636619718309859;0.05051346100471829
$\pi_T = 0.293$;0.2652996517826148;0.2652996517826148;0.2652996517826148;0.2652996517826148;0.9816838995568685;0.07771301693033583;0.9816838995568685;0.07771301693033583
$\pi_T = 0.371$;0.20945151389212577;0.20945151389212577;0.20945151389212577;0.20945151389212577;0.9816838995568685;0.07771301693033583;0.9816838995568685;0.07771301693033583
$\pi_T = 0.456$;0.17021157775403112;0.17021157775403112;0.17021157775403112;0.17021157775403112;0.9816838995568685;0.07771301693033583;0.9816838995568685;0.07771301693033583
$\pi_T = 0.544$;0.1559061081560992;0.1559061081560992;0.1559061081560992;0.1559061081560992;0.9967793880837359;0.14099361643075214;0.9967793880837359;0.14099361643075214
$\pi_T = 0.629$;0.1622177818125972;0.1622177818125972;0.1622177818125972;0.1622177818125972;0.9967793880837359;0.14099361643075214;0.9967793880837359;0.14099361643075214
$\pi_T = 0.707$;0.17120085506346472;0.17120085506346472;0.17120085506346472;0.17120085506346472;0.9967793880837359;0.14099361643075214;0.9967793880837359;0.14099361643075214
$\pi_T = 0.775$;0.1792895656507987;0.1792895656507987;0.1792895656507987;0.1792895656507987;0.9993311036789297;0.17069109075770192;0.9993311036789297;0.17069109075770192
$\pi_T = 0.830$;0.18292884796983416;0.18292884796983416;0.18292884796983416;0.18292884796983416;0.9993311036789297;0.17069109075770192;0.9993311036789297;0.17069109075770192
$\pi_T = 0.874$;0.1881084471429989;0.1881084471429989;0.1881084471429989;0.1881084471429989;0.9993311036789297;0.17069109075770192;0.9993311036789297;0.17069109075770192
$\pi_T = 0.908$;0.19548029830560915;0.19844573966139326;0.19548029830560915;0.19844573966139326;1.0;0.19844573966139328;1.0;0.19844573966139328
$\pi_T = 0.934$;0.19844573966139328;0.19844573966139328;0.19844573966139328;0.19844573966139328;1.0;0.19844573966139328;1.0;0.19844573966139328
$\pi_T = 0.953$;0.19844573966139328;0.22620038856508465;0.19844573966139328;0.19844573966139328;1.0;0.22620038856508465;1.0;0.19844573966139328
