# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.047$;0.6741361506449853;1.0073993405069042;0.6741361506449853;0.6811621398846291;0.818781264211005;0.0005550929780738274;0.90571791613723;0.010824313072439634
$\pi_T = 0.066$;0.5970963275578979;0.9878337331556276;0.5970963275578979;0.609845128091015;0.8212086659064994;0.0005550929780738274;0.9212373277878867;0.01637524285317791
$\pi_T = 0.092$;0.5171815447367011;0.9232561890251149;0.5171815447367011;0.5321712296948431;0.8310249307479224;0.0008326394671107411;0.9354238639383471;0.023036358590063834
$\pi_T = 0.126$;0.4423294914052308;0.8242192035617403;0.4423294914052308;0.4573698012000165;0.8474776049033474;0.0022203719122953097;0.9488574537540805;0.031917846239245075
$\pi_T = 0.170$;0.38384798806398895;0.6613568468599693;0.38384798806398895;0.3911289790664621;0.8767760901518863;0.006661115736885929;0.9611948632049134;0.04440743824590619
$\pi_T = 0.225$;0.31330335623557415;0.5171606712471148;0.31330335623557415;0.3228273026262056;0.902149178255373;0.009714127116291979;0.9703281027104137;0.056064390785456567
$\pi_T = 0.293$;0.2568546604880494;0.4183220694827652;0.2568546604880494;0.2648125561835456;0.9212373277878867;0.01637524285317791;0.9761835608480975;0.06716625034693312
$\pi_T = 0.371$;0.19871285580700485;0.3280279649811529;0.19871285580700485;0.20477904633267133;0.9386175607152388;0.023868998057174576;0.9833975689297362;0.07937829586455732
$\pi_T = 0.456$;0.15676721663867957;0.24845022498855074;0.15676721663867957;0.15809166774945146;0.9551087854585514;0.03746877601998335;0.9885092228605987;0.09270052733832918
$\pi_T = 0.544$;0.14825780993850035;0.22294327204067038;0.14825780993850035;0.15363921560586147;0.9672223792031648;0.04995836802664446;0.9904527255928549;0.10741049125728559
$\pi_T = 0.629$;0.16207086753859992;0.2511634408168006;0.16207086753859992;0.16419328407678443;0.9745591211332755;0.06439078545656397;0.9934231130598183;0.11962253677490979
$\pi_T = 0.707$;0.17394403243769904;0.25263745451103176;0.17394403243769904;0.17992090513197198;0.9828503843879361;0.07743547044129892;0.995212256623045;0.13461004718290315
$\pi_T = 0.775$;0.18690842843169492;0.25690418977427854;0.18690842843169492;0.19453275747963872;0.988498789346247;0.09353316680543991;0.9967394848386045;0.15154038301415487
$\pi_T = 0.830$;0.19964591654831906;0.2756732250004769;0.19964591654831906;0.20852740419750032;0.9916460396039604;0.11046350263669165;0.997676734152008;0.16569525395503748
$\pi_T = 0.874$;0.21777451365439562;0.2824847670013946;0.21777451365439562;0.22339351585916245;0.9943181818181818;0.1257285595337219;0.9983108108108109;0.17985012489592006
$\pi_T = 0.908$;0.23988031834242984;0.28205254825786963;0.23988031834242984;0.2521873520927615;0.9964389770152153;0.14571190674437967;0.9986096628432395;0.202608936996947
$\pi_T = 0.934$;0.26179188234574935;0.2861263575244341;0.26179188234574935;0.28899143827136686;0.9976851851851852;0.16264224257563142;0.9985815602836879;0.21842908687205106
$\pi_T = 0.953$;0.2781015820149875;0.30538473066584343;0.2781015820149875;0.30707208180777695;0.9983108108108109;0.17985012489592006;0.9989173583543847;0.23175131834582294
