# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.047$;0.6865354911518893;1.0;0.6865354911518893;0.7054868101380812;0.8183057006586418;0.0;0.9022537351228159;0.011101859561476548
$\pi_T = 0.066$;0.6011770620463183;0.9937499999999999;0.6011770620463183;0.6066776617797597;0.8192360163710778;0.0;0.918932918932919;0.015265056897030253
$\pi_T = 0.092$;0.5393675914771814;0.9402520630083716;0.5393675914771814;0.5551650406697283;0.8276654411764706;0.0002775464890369137;0.9293062516486416;0.022203719122953096
$\pi_T = 0.126$;0.4718804427408834;0.8055865044521754;0.4718804427408834;0.4855332967478411;0.8510184746565609;0.002775464890369137;0.939312567132116;0.029142381348875937
$\pi_T = 0.170$;0.3999893694448235;0.6446723723833079;0.3999893694448235;0.40716351358732744;0.8788324748589649;0.005550929780738274;0.9509185632026323;0.03746877601998335
$\pi_T = 0.225$;0.34200695348730525;0.5284790336753565;0.34200695348730525;0.3463258125932116;0.9006823351023503;0.010824313072439634;0.9586823003908431;0.04690535664723841
$\pi_T = 0.293$;0.2935333562799727;0.40801706077733063;0.2935333562799727;0.3012154431736072;0.9239811912225705;0.018318068276436304;0.9646622969506982;0.06050513461004718
$\pi_T = 0.371$;0.23996285580700485;0.32636683933657756;0.23996285580700485;0.24988268279076192;0.9407646742057081;0.03025256730502359;0.970913321698662;0.07354981959478213
$\pi_T = 0.456$;0.19486282552485454;0.24463360831933978;0.19486282552485454;0.20142826941942565;0.9576601671309192;0.04579517069109076;0.9755234444116779;0.08187621426588954
$\pi_T = 0.544$;0.18994677938344515;0.24035818781565932;0.18994677938344515;0.19688093596105835;0.9661794210375466;0.06439078545656397;0.97956116621581;0.0954759922286983
$\pi_T = 0.629$;0.22781682132243317;0.25619191688605597;0.22781682132243317;0.23024942361624556;0.9758040719976394;0.08215376075492645;0.9830717143736535;0.11351651401609769
$\pi_T = 0.707$;0.2750348987307936;0.28671109763030256;0.2750348987307936;0.28127007155414496;0.9817240328967408;0.1054676658340272;0.9848101265822785;0.13627532611712462
$\pi_T = 0.775$;0.32367871858937025;0.33210288950213945;0.32367871858937025;0.33876947150607295;0.9859514687100894;0.14293644185401055;0.9863414634146341;0.1582014987510408
$\pi_T = 0.830$;0.36692174065735145;0.3892668741000988;0.36692174065735145;0.3914872460123941;0.9888551165146909;0.18734388009991673;0.9888249238062987;0.18956425201221205
$\pi_T = 0.874$;0.42323750155158535;0.4376699189815049;0.42323750155158535;0.43465357221057443;0.9922394678492239;0.2547876769358868;0.9914712153518124;0.22564529558701082
$\pi_T = 0.908$;0.5006419387589935;0.7670138346289798;0.5006419387589935;0.52497845977062;0.9909281228192603;0.6058839855675826;0.9926328034121753;0.289480988065501
$\pi_T = 0.934$;0.5992074960774186;0.8719046084328252;0.5992074960774186;0.8002407699967078;0.9918200408997955;0.7307799056341937;0.9916613213598461;0.5709131279489315
$\pi_T = 0.953$;0.7186688289439102;0.9822985452191638;0.7186688289439102;0.9723904643390733;0.9900568181818182;0.8065500971412711;0.9899749373433584;0.6711074104912573
