# Prior;minDCF;actDCF;calMinDCF;calActDCF;FNR;FPR;calFNR;calFPR
$\pi_T = 0.047$;1.0;1.5140318032022158;1.0;1.2877562044467659;0.78375;0.03635859006383569;0.97;0.01582014987510408
$\pi_T = 0.066$;1.0;1.287529986672072;1.0;1.243349326225105;0.7;0.041631973355537054;0.93;0.022203719122953096
$\pi_T = 0.092$;1.0;1.096369278498517;1.0;1.1507104268539035;0.60375;0.04968082153760755;0.87;0.028309741881765195
$\pi_T = 0.126$;0.9324338943861173;0.9389184961669876;0.9324338943861173;0.9892264605495847;0.52125;0.05995004163197336;0.72625;0.03774632250902026
$\pi_T = 0.170$;0.8008459160837741;0.8206856457938201;0.8008459160837741;0.8189512914055662;0.4525;0.07521509852900361;0.535;0.05800721620871496
$\pi_T = 0.225$;0.6377249543913115;0.6803322694028522;0.6377249543913115;0.6806960412240334;0.3825;0.08659450457951708;0.38;0.08742714404662781
$\pi_T = 0.293$;0.5091987123992335;0.5749016864436416;0.5091987123992335;0.5299308863472144;0.32875;0.10185956147654732;0.2375;0.12101026922009436
$\pi_T = 0.371$;0.41724874251524996;0.4488697816517039;0.41724874251524996;0.43619575486807044;0.25;0.11712461837357757;0.1525;0.16708298640022204
$\pi_T = 0.456$;0.33269586103902316;0.3552585844033967;0.33269586103902316;0.34245683882358563;0.195;0.13433250069386624;0.0875;0.21371079655842354
$\pi_T = 0.544$;0.29705573175529965;0.35480184672959864;0.29705573175529965;0.30257365784302437;0.16875;0.15348320843741325;0.0475;0.24590618928670552
$\pi_T = 0.629$;0.3178071247292373;0.40252427029036714;0.3178071247292373;0.3226723293168621;0.13;0.18179295031917847;0.02625;0.2781015820149875
$\pi_T = 0.707$;0.3351016800197415;0.45715009346270846;0.3351016800197415;0.349011291987722;0.10625;0.20038856508465167;0.01625;0.3097418817651957
$\pi_T = 0.775$;0.35300087018562126;0.48789331355941473;0.35300087018562126;0.37203193661931633;0.07875;0.2170413544268665;0.00875;0.34193727449347766
$\pi_T = 0.830$;0.37590079293401335;0.5324090095101737;0.37590079293401335;0.4025066883397949;0.06125;0.23258395781293367;0.00625;0.37191229530946435
$\pi_T = 0.874$;0.3966191896266722;0.5709027473050685;0.3966191896266722;0.4134761962409728;0.04625;0.24868165417707466;0.0025;0.3960588398556758
$\pi_T = 0.908$;0.4172399430461032;0.6211698486064648;0.4172399430461032;0.4441619524826838;0.03625;0.2617263391618096;0.0025;0.41937274493477655
$\pi_T = 0.934$;0.42773191119785386;0.6648067822660398;0.42773191119785386;0.475192360823166;0.0275;0.27671384956980294;0.0025;0.4399111851235082
$\pi_T = 0.953$;0.4426645778061653;0.6923019124854033;0.4426645778061653;0.48666673242237213;0.02;0.29059117402164863;0.00125;0.46155981126838747
