# Prior;MVG;PCA;Dataset;MinDCF
0.5;Standard MVG;No PCA;RAW;0.1246491864178212
0.5;Naive MVG;No PCA;RAW;0.13692734374006083
0.5;Tied MVG;No PCA;RAW;0.9568527918781726
0.5;Tied Naive MVG;No PCA;RAW;0.7081218274111675
0.1;Standard MVG;No PCA;RAW;0.49669605485795704
0.1;Naive MVG;No PCA;RAW;0.5412363395799142
0.1;Tied MVG;No PCA;RAW;1.0
0.1;Tied Naive MVG;No PCA;RAW;1.0
0.9;Standard MVG;No PCA;RAW;0.18883248730964466
0.9;Naive MVG;No PCA;RAW;0.18223350253807108
0.9;Tied MVG;No PCA;RAW;0.9568527918781726
0.9;Tied Naive MVG;No PCA;RAW;0.7081218274111674
0.5;Standard MVG;PCA 5;RAW;0.12163530654046283
0.5;Naive MVG;PCA 5;RAW;0.1246491864178212
0.5;Tied MVG;PCA 5;RAW;0.9553299492385787
0.5;Tied Naive MVG;PCA 5;RAW;0.9558375634517766
0.1;Standard MVG;PCA 5;RAW;0.5174764321972444
0.1;Naive MVG;PCA 5;RAW;0.49920232052211744
0.1;Tied MVG;PCA 5;RAW;1.0
0.1;Tied Naive MVG;PCA 5;RAW;1.0
0.9;Standard MVG;PCA 5;RAW;0.1865157818403878
0.9;Naive MVG;PCA 5;RAW;0.18397771077439795
0.9;Tied MVG;PCA 5;RAW;0.9553299492385787
0.9;Tied Naive MVG;PCA 5;RAW;0.9558375634517766
0.5;Standard MVG;No PCA;Z-Norm;0.1246491864178212
0.5;Naive MVG;No PCA;Z-Norm;0.13692734374006083
0.5;Tied MVG;No PCA;Z-Norm;0.9568527918781726
0.5;Tied Naive MVG;No PCA;Z-Norm;0.7081218274111675
0.1;Standard MVG;No PCA;Z-Norm;0.49669605485795704
0.1;Naive MVG;No PCA;Z-Norm;0.5412363395799142
0.1;Tied MVG;No PCA;Z-Norm;1.0
0.1;Tied Naive MVG;No PCA;Z-Norm;1.0
0.9;Standard MVG;No PCA;Z-Norm;0.18883248730964466
0.9;Naive MVG;No PCA;Z-Norm;0.18223350253807108
0.9;Tied MVG;No PCA;Z-Norm;0.9568527918781726
0.9;Tied Naive MVG;No PCA;Z-Norm;0.7081218274111674
0.5;Standard MVG;PCA 5;Z-Norm;0.1316921745989339
0.5;Naive MVG;PCA 5;Z-Norm;0.15580321361780086
0.5;Tied MVG;PCA 5;Z-Norm;0.9573604060913705
0.5;Tied Naive MVG;PCA 5;Z-Norm;0.9634517766497462
0.1;Standard MVG;PCA 5;Z-Norm;0.5174764321972444
0.1;Naive MVG;PCA 5;Z-Norm;0.5729005254252382
0.1;Tied MVG;PCA 5;Z-Norm;1.0
0.1;Tied Naive MVG;PCA 5;Z-Norm;1.0
0.9;Standard MVG;PCA 5;Z-Norm;0.18680203045685279
0.9;Naive MVG;PCA 5;Z-Norm;0.26303576199381706
0.9;Tied MVG;PCA 5;Z-Norm;0.9573604060913705
0.9;Tied Naive MVG;PCA 5;Z-Norm;0.9634517766497462
