# Prior;Dataset;MVG;PCA;Components;MinDCF
$\pi = 0.5$;RAW;Standard GMM;No PCA;1;0.12287317277966489
$\pi = 0.5$;Z-Norm;Standard GMM;No PCA;1;0.14044883783061715
$\pi = 0.1$;RAW;Standard GMM;No PCA;1;0.5055468620790555
$\pi = 0.1$;Z-Norm;Standard GMM;No PCA;1;0.5110033968169154
$\pi = 0.9$;RAW;Standard GMM;No PCA;1;0.199713751383535
$\pi = 0.9$;Z-Norm;Standard GMM;No PCA;1;0.19057669554597156
$\pi = 0.5$;RAW;Diagonal GMM;No PCA;1;0.13423024566492373
$\pi = 0.5$;Z-Norm;Diagonal GMM;No PCA;1;0.13813340457743345
$\pi = 0.1$;RAW;Diagonal GMM;No PCA;1;0.5300662824574126
$\pi = 0.1$;Z-Norm;Diagonal GMM;No PCA;1;0.5299085276643385
$\pi = 0.9$;RAW;Diagonal GMM;No PCA;1;0.17918781725888325
$\pi = 0.9$;Z-Norm;Diagonal GMM;No PCA;1;0.17766497461928935
$\pi = 0.5$;RAW;Tied GMM;No PCA;1;0.12068368891772578
$\pi = 0.5$;Z-Norm;Tied GMM;No PCA;1;0.12068368891772578
$\pi = 0.1$;RAW;Tied GMM;No PCA;1;0.48917725786547583
$\pi = 0.1$;Z-Norm;Tied GMM;No PCA;1;0.48917725786547583
$\pi = 0.9$;RAW;Tied GMM;No PCA;1;0.16598984771573605
$\pi = 0.9$;Z-Norm;Tied GMM;No PCA;1;0.16598984771573605
$\pi = 0.5$;RAW;Standard GMM;PCA $(m=5)$;1;0.1168772184267776
$\pi = 0.5$;Z-Norm;Standard GMM;PCA $(m=5)$;1;0.124776408025139
$\pi = 0.1$;RAW;Standard GMM;PCA $(m=5)$;1;0.46680788265078943
$\pi = 0.1$;Z-Norm;Standard GMM;PCA $(m=5)$;1;0.4996755849013396
$\pi = 0.9$;RAW;Standard GMM;PCA $(m=5)$;1;0.1770924773863593
