# Prior;Lambda;PCA;Dataset;Weighted;MinDCF
$\pi = 0.5$;$10^3$;No PCA;RAW;Weighted;0.48800681907815224
$\pi = 0.5$;$10^2$;No PCA;RAW;Weighted;0.48556416421765075
$\pi = 0.5$;$10$;No PCA;RAW;Weighted;0.5027912420645522
$\pi = 0.5$;$10^{-1}$;No PCA;RAW;Weighted;0.5149739831813035
$\pi = 0.5$;$10^{-2}$;No PCA;RAW;Weighted;0.516401409615409
$\pi = 0.5$;$10^{-3}$;No PCA;RAW;Weighted;0.516401409615409
$\pi = 0.5$;$10^{-4}$;No PCA;RAW;Weighted;0.516401409615409
$\pi = 0.5$;$10^{-5}$;No PCA;RAW;Weighted;0.516401409615409
$\pi = 0.1$;$10^3$;No PCA;RAW;Weighted;1.0
$\pi = 0.1$;$10^2$;No PCA;RAW;Weighted;1.0
$\pi = 0.1$;$10$;No PCA;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-1}$;No PCA;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-2}$;No PCA;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-3}$;No PCA;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-4}$;No PCA;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-5}$;No PCA;RAW;Weighted;1.0
$\pi = 0.9$;$10^3$;No PCA;RAW;Weighted;0.5197969543147208
$\pi = 0.9$;$10^2$;No PCA;RAW;Weighted;0.5269035532994923
$\pi = 0.9$;$10$;No PCA;RAW;Weighted;0.5425747108888973
$\pi = 0.9$;$10^{-1}$;No PCA;RAW;Weighted;0.5440975535284913
$\pi = 0.9$;$10^{-2}$;No PCA;RAW;Weighted;0.5446051677416893
$\pi = 0.9$;$10^{-3}$;No PCA;RAW;Weighted;0.5446051677416893
$\pi = 0.9$;$10^{-4}$;No PCA;RAW;Weighted;0.5446051677416893
$\pi = 0.9$;$10^{-5}$;No PCA;RAW;Weighted;0.5446051677416893
$\pi = 0.5$;$10^3$;PCA $(m=5)$;RAW;Weighted;0.4865475872422172
$\pi = 0.5$;$10^2$;PCA $(m=5)$;RAW;Weighted;0.48702339605358574
$\pi = 0.5$;$10$;PCA $(m=5)$;RAW;Weighted;0.5066931287609888
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;0.5162105772044324
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;0.52179433354961
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;0.522301947762808
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;0.5233171761892039
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;0.5233171761892039
$\pi = 0.1$;$10^3$;PCA $(m=5)$;RAW;Weighted;1.0
$\pi = 0.1$;$10^2$;PCA $(m=5)$;RAW;Weighted;1.0
$\pi = 0.1$;$10$;PCA $(m=5)$;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;1.0
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;1.0
$\pi = 0.9$;$10^3$;PCA $(m=5)$;RAW;Weighted;0.5228426395939086
$\pi = 0.9$;$10^2$;PCA $(m=5)$;RAW;Weighted;0.5245868478302356
$\pi = 0.9$;$10$;PCA $(m=5)$;RAW;Weighted;0.5342315178809969
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;0.5393076600129766
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;0.5398152742261746
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;0.5398152742261746
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;0.5398152742261746
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;0.5398152742261746
$\pi = 0.5$;$10^3$;No PCA;Z-Norm;Weighted;0.5990471101611897
$\pi = 0.5$;$10^2$;No PCA;Z-Norm;Weighted;0.52141394094373
$\pi = 0.5$;$10$;No PCA;Z-Norm;Weighted;0.4959696194801725
$\pi = 0.5$;$10^{-1}$;No PCA;Z-Norm;Weighted;0.495493810668804
$\pi = 0.5$;$10^{-2}$;No PCA;Z-Norm;Weighted;0.5074233807869928
$\pi = 0.5$;$10^{-3}$;No PCA;Z-Norm;Weighted;0.516401409615409
$\pi = 0.5$;$10^{-4}$;No PCA;Z-Norm;Weighted;0.516401409615409
