# Prior;Lambda;PCA;Dataset;Weighted;Type;Cutto;MinDCF
$\pi = 0.5$;$10^3$;No PCA;RAW;Unweighted;Quadratic;;0.1007925906135898
$\pi = 0.5$;$10^2$;No PCA;RAW;Unweighted;Quadratic;;0.09923794257216645
$\pi = 0.5$;$10$;No PCA;RAW;Unweighted;Quadratic;;0.0982863249494294
$\pi = 0.5$;$10^{-1}$;No PCA;RAW;Unweighted;Quadratic;;0.09555742147246288
$\pi = 0.5$;$10^{-2}$;No PCA;RAW;Unweighted;Quadratic;;0.09457399844789639
$\pi = 0.5$;$10^{-3}$;No PCA;RAW;Unweighted;Quadratic;;0.09457399844789639
$\pi = 0.5$;$10^{-4}$;No PCA;RAW;Unweighted;Quadratic;;0.09457399844789639
$\pi = 0.5$;$10^{-5}$;No PCA;RAW;Unweighted;Quadratic;;0.09457399844789639
$\pi = 0.1$;$10^3$;No PCA;RAW;Unweighted;Quadratic;;0.4078317621464829
$\pi = 0.1$;$10^2$;No PCA;RAW;Unweighted;Quadratic;;0.3929519229545946
$\pi = 0.1$;$10$;No PCA;RAW;Unweighted;Quadratic;;0.39723420225691125
$\pi = 0.1$;$10^{-1}$;No PCA;RAW;Unweighted;Quadratic;;0.3984084576924544
$\pi = 0.1$;$10^{-2}$;No PCA;RAW;Unweighted;Quadratic;;0.4153505591389642
$\pi = 0.1$;$10^{-3}$;No PCA;RAW;Unweighted;Quadratic;;0.4224253527219063
$\pi = 0.1$;$10^{-4}$;No PCA;RAW;Unweighted;Quadratic;;0.4224253527219063
$\pi = 0.1$;$10^{-5}$;No PCA;RAW;Unweighted;Quadratic;;0.4224253527219063
$\pi = 0.9$;$10^3$;No PCA;RAW;Unweighted;Quadratic;;0.14184573107896645
$\pi = 0.9$;$10^2$;No PCA;RAW;Unweighted;Quadratic;;0.14060913705583755
$\pi = 0.9$;$10$;No PCA;RAW;Unweighted;Quadratic;;0.14416243654822336
$\pi = 0.9$;$10^{-1}$;No PCA;RAW;Unweighted;Quadratic;;0.1398152742261746
$\pi = 0.9$;$10^{-2}$;No PCA;RAW;Unweighted;Quadratic;;0.13626197473378882
$\pi = 0.9$;$10^{-3}$;No PCA;RAW;Unweighted;Quadratic;;0.13676958894698676
$\pi = 0.9$;$10^{-4}$;No PCA;RAW;Unweighted;Quadratic;;0.13676958894698676
$\pi = 0.9$;$10^{-5}$;No PCA;RAW;Unweighted;Quadratic;;0.13676958894698676
$\pi = 0.5$;$10^3$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.16941465338473086
$\pi = 0.5$;$10^2$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.1312481711893948
$\pi = 0.5$;$10$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.11525895958169535
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.10510667531773596
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.09552561607063344
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.0935905754233299
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.09308296121013193
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.09308296121013193
$\pi = 0.1$;$10^3$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.6135033014007099
$\pi = 0.1$;$10^2$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.5122361741918248
$\pi = 0.1$;$10$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.4138900550869559
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.37245779423177233
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.39707644746383725
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.40313474040431024
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.40564100606847064
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.40564100606847064
$\pi = 0.9$;$10^3$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.2245868478302355
$\pi = 0.9$;$10^2$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.24263959390862944
$\pi = 0.9$;$10$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.2207472997213847
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;RAW;Unweighted;Quadratic;;0.1548223350253807
