# Prior;Lambda;PCA;Dataset;Weighted;Type;LogregPrior;MinDCF
$\pi = 0.5$;$10^3$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.10072897980993092
$\pi = 0.5$;$10^2$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1011093724158111
$\pi = 0.5$;$10$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1010457616121522
$\pi = 0.5$;$10^{-1}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.09825451954759996
$\pi = 0.5$;$10^{-2}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.0982863249494294
$\pi = 0.5$;$10^{-3}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.0982863249494294
$\pi = 0.5$;$10^{-4}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.09831813035125886
$\pi = 0.5$;$10^{-5}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.09781051613806088
$\pi = 0.1$;$10^3$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.4104957826037174
$\pi = 0.1$;$10^2$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.3947279365927509
$\pi = 0.1$;$10$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.39222167092859056
$\pi = 0.1$;$10^{-1}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.39663244405429815
$\pi = 0.1$;$10^{-2}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.40415124104677935
$\pi = 0.1$;$10^{-3}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.40916377237510015
$\pi = 0.1$;$10^{-4}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.40916377237510015
$\pi = 0.1$;$10^{-5}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.41167003803926056
$\pi = 0.9$;$10^3$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1413381168657685
$\pi = 0.9$;$10^2$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.13756345177664975
$\pi = 0.9$;$10$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1350253807106599
$\pi = 0.9$;$10^{-1}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.12763253310942332
$\pi = 0.9$;$10^{-2}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.13220106102820503
$\pi = 0.9$;$10^{-3}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1342315178809969
$\pi = 0.9$;$10^{-4}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1342315178809969
$\pi = 0.9$;$10^{-5}$;No PCA;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1342315178809969
$\pi = 0.5$;$10^3$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1652265180718293
$\pi = 0.5$;$10^2$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.13426205106675318
$\pi = 0.5$;$10$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1086281694082923
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.10107756701398166
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.09555742147246288
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.09657264989885882
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.09558922687429233
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.09558922687429233
$\pi = 0.1$;$10^3$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.6105530323270104
$\pi = 0.1$;$10^2$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.521758711499561
$\pi = 0.1$;$10$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.4177283309797336
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.3730595524343855
$\pi = 0.1$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.40665750671093975
$\pi = 0.1$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.4212510972863631
$\pi = 0.1$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.4237573629505235
$\pi = 0.1$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.4237573629505235
$\pi = 0.9$;$10^3$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.2266173046830274
$\pi = 0.9$;$10^2$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.233502538071066
$\pi = 0.9$;$10$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.2101522842639594
$\pi = 0.9$;$10^{-1}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.15076142131979695
$\pi = 0.9$;$10^{-2}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.1514904011297279
$\pi = 0.9$;$10^{-3}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.14895233006373804
$\pi = 0.9$;$10^{-4}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.149967558490134
$\pi = 0.9$;$10^{-5}$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi = 0.5$;0.149967558490134
$\pi = 0.5$;$10^3$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.228867854916479
$\pi = 0.5$;$10^2$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.22030202409577243
$\pi = 0.5$;$10$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.18283398852461102
$\pi = 0.5$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.13537269569863747
$\pi = 0.5$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.11116624047428215
$\pi = 0.5$;$10^{-3}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.10006233858758572
$\pi = 0.5$;$10^{-4}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.1010457616121522
$\pi = 0.5$;$10^{-5}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.09882574456445682
$\pi = 0.1$;$10^3$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.7159154230754551
$\pi = 0.1$;$10^2$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.7013218325000317
$\pi = 0.1$;$10$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.602560970955307
$\pi = 0.1$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.46639314021093337
$\pi = 0.1$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.407288525883236
$\pi = 0.1$;$10^{-3}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.401802730175693
$\pi = 0.1$;$10^{-4}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.41462030711296005
$\pi = 0.1$;$10^{-5}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.41167003803926056
$\pi = 0.9$;$10^3$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.34213197969543147
$\pi = 0.9$;$10^2$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.332994923857868
$\pi = 0.9$;$10$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.3020304568527919
$\pi = 0.9$;$10^{-1}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.24467005076142131
$\pi = 0.9$;$10^{-2}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.19695431472081218
$\pi = 0.9$;$10^{-3}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.1350253807106599
$\pi = 0.9$;$10^{-4}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.12893401015228426
$\pi = 0.9$;$10^{-5}$;No PCA;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.13169344681500708
$\pi = 0.5$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.23039069755607292
$\pi = 0.5$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.22176125593170742
$\pi = 0.5$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.184800834573744
$\pi = 0.5$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.13635611872320394
$\pi = 0.5$;$10^{-2}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.11180107629479791
$\pi = 0.5$;$10^{-3}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.09752426752159588
$\pi = 0.5$;$10^{-4}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.10025317099856239
$\pi = 0.5$;$10^{-5}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.09631947890029642
$\pi = 0.1$;$10^3$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.7113468951566734
$\pi = 0.1$;$10^2$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.7101726397211302
$\pi = 0.1$;$10$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.6036067325674593
$\pi = 0.1$;$10^{-1}$;PCA $(m=5)$;Z-Norm;Weighted;Quadratic;$\pi = 0.5$;0.47775021309619226
