# Kernel;Prior;PCA;Dataset;C;K;MinDCF
Linear;$\pi = 0.5$;No PCA;RAW;$C = 10$;$K = 1$;0.8961566352429295
Linear;$\pi = 0.1$;No PCA;RAW;$C = 10$;$K = 1$;1.0
Linear;$\pi = 0.9$;No PCA;RAW;$C = 10$;$K = 1$;0.9553299492385787
Linear;$\pi = 0.5$;PCA $(m=5)$;RAW;$C = 10$;$K = 1$;0.9293462081599939
Linear;$\pi = 0.1$;PCA $(m=5)$;RAW;$C = 10$;$K = 1$;1.0
Linear;$\pi = 0.9$;PCA $(m=5)$;RAW;$C = 10$;$K = 1$;0.9530132437693218
Linear;$\pi = 0.5$;No PCA;Z-Norm;$C = 10$;$K = 1$;0.8388293067694618
Linear;$\pi = 0.1$;No PCA;Z-Norm;$C = 10$;$K = 1$;1.0
Linear;$\pi = 0.9$;No PCA;Z-Norm;$C = 10$;$K = 1$;0.9355329949238579
Linear;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$C = 10$;$K = 1$;0.8696627355190005
Linear;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$C = 10$;$K = 1$;1.0
Linear;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$C = 10$;$K = 1$;0.965482233502538
Linear;$\pi = 0.5$;No PCA;RAW;$C = 1$;$K = 1$;0.8396537027848809
Linear;$\pi = 0.1$;No PCA;RAW;$C = 1$;$K = 1$;1.0
Linear;$\pi = 0.9$;No PCA;RAW;$C = 1$;$K = 1$;0.9137055837563453
Linear;$\pi = 0.5$;PCA $(m=5)$;RAW;$C = 1$;$K = 1$;0.9280129257153036
Linear;$\pi = 0.1$;PCA $(m=5)$;RAW;$C = 1$;$K = 1$;1.0
Linear;$\pi = 0.9$;PCA $(m=5)$;RAW;$C = 1$;$K = 1$;0.9578680203045685
Linear;$\pi = 0.5$;No PCA;Z-Norm;$C = 1$;$K = 1$;0.8189382084653258
Linear;$\pi = 0.1$;No PCA;Z-Norm;$C = 1$;$K = 1$;1.0
Linear;$\pi = 0.9$;No PCA;Z-Norm;$C = 1$;$K = 1$;0.8812182741116751
Linear;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$C = 1$;$K = 1$;0.8495171940002291
Linear;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$C = 1$;$K = 1$;1.0
Linear;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$C = 1$;$K = 1$;0.9299492385786802
