# Kernel;Prior;PCA;Dataset;Gamma;C;K;MinDCF
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.0879750136763228
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.40459524445631845
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.18194725392160604
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.08803862447998168
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.39752045087337634
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.18578680203045686
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.25285421676017455
RBF;$\pi = 0.1$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.9057784054043739
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.34996755849013395
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.16630535730188414
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.5905029070137272
RBF;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 10$;$K = 1$;0.3265524216632953
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 1$;$C = 10$;$K = 1$;0.5631171838225004
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 1$;$C = 10$;$K = 1$;0.688878287088279
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 1$;$C = 10$;$K = 1$;0.9979695431472081
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10$;$K = 1$;0.3722287953386003
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10$;$K = 1$;0.5630917395010369
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10$;$K = 1$;0.9949238578680202
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 1$;$C = 10$;$K = 1$;0.1121178580970192
RBF;$\pi = 0.1$;No PCA;Z-Norm;$\gamma = 1$;$C = 10$;$K = 1$;0.5106878872307672
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 1$;$C = 10$;$K = 1$;0.2239494675775734
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10$;$K = 1$;0.10491711512283246
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10$;$K = 1$;0.42201061028205034
RBF;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10$;$K = 1$;0.12610969046982942
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 10^-3$;$C = 1$;$K = 1$;0.10425047390048725
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 10^-3$;$C = 1$;$K = 1$;0.4364757070340826
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 10^-3$;$C = 1$;$K = 1$;0.20957978703102936
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 1$;$K = 1$;0.10123659402312889
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 1$;$K = 1$;0.4199483480274289
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 1$;$K = 1$;0.19688943170108011
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 1$;$K = 1$;0.8242191773850871
