# Prior;Lambda;PCA;Dataset;Weighted;Type;LogregPrior;MinDCF;ActDCF
$\pi_T = 0.047$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.5561030495281025;0.6027516037705194
$\pi_T = 0.066$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.49243703105047976;0.5321411347848789
$\pi_T = 0.092$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.39444098333869654;0.4168933227872799
$\pi_T = 0.126$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.3242498684692142;0.32984689432990677
$\pi_T = 0.170$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.26439909038118387;0.27924370758346206
$\pi_T = 0.225$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.2208015966099976;0.23361310687855516
$\pi_T = 0.293$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.17652725821250412;0.17903352387666455
$\pi_T = 0.371$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.1396829780769664;0.1494020819022274
$\pi_T = 0.456$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.11371157241666757;0.11805264788190237
$\pi_T = 0.544$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.1078494736114471;0.11608272502446008
$\pi_T = 0.629$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.12556645229635377;0.13341766172002065
$\pi_T = 0.707$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.14087328175719566;0.1413808959703936
$\pi_T = 0.775$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.15075200465091698;0.16998484473915978
$\pi_T = 0.830$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.15076142131979695;0.20973686600018
$\pi_T = 0.874$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.15076142131979695;0.1729930838049795
$\pi_T = 0.908$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.15076142131979695;0.1725670719282355
$\pi_T = 0.934$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.15076142131979695;0.16243654822335024
$\pi_T = 0.953$;$\lambda = 0.1$;PCA $(m=5)$;RAW;Weighted;Quadratic;$\pi_t = 0.5$;0.15076142131979695;0.17157360406091374
