# Prior;MinDCF;ActDCF;CalMinDCF;CalActDCF;TPR;FPR;CalTPR;CalFPR
$\pi_T = 0.047$;0.5561030495281025;0.5923852583833157;0.5561030495281025;0.6027516037705194;0.9263657957244655;0.01015228426395939;0.9280609814197237;0.01116751269035533
$\pi_T = 0.066$;0.49243703105047976;0.5192341797704488;0.49243703105047976;0.5321411347848789;0.9372889532079113;0.013705583756345178;0.9425790754257908;0.016751269035532996
$\pi_T = 0.092$;0.39444098333869654;0.4319101064664703;0.39444098333869654;0.42192666442137283;0.9545004945598418;0.02030456852791878;0.9582504970178927;0.02131979695431472
$\pi_T = 0.126$;0.3242498684692142;0.3342749311258558;0.3242498684692142;0.32984689432990677;0.9696663296258847;0.026395939086294416;0.9725749111223971;0.027918781725888325
$\pi_T = 0.170$;0.26439909038118387;0.27429550184936935;0.26439909038118387;0.27924370758346206;0.9769230769230769;0.03299492385786802;0.9773895169578622;0.03451776649746193
$\pi_T = 0.225$;0.2208015966099976;0.2333879885258018;0.2208015966099976;0.23361310687855516;0.9812889812889813;0.0416243654822335;0.9822824387701928;0.04314720812182741
$\pi_T = 0.293$;0.17652725821250412;0.1803659855238427;0.17652725821250412;0.17903352387666455;0.9873417721518988;0.049746192893401014;0.9883659439450027;0.051269035532994923
$\pi_T = 0.371$;0.1396829780769664;0.14924324298522554;0.1396829780769664;0.1494020819022274;0.9893333333333333;0.0583756345177665;0.9903588644884842;0.06142131979695432
$\pi_T = 0.456$;0.11371157241666757;0.11441914735999037;0.11371157241666757;0.11684148104126504;0.9924446842957366;0.066497461928934;0.9924283396430503;0.06852791878172589
$\pi_T = 0.544$;0.1078494736114471;0.11805746987632922;0.1078494736114471;0.11608272502446008;0.9928845101258894;0.07918781725888324;0.993421052631579;0.08020304568527918
$\pi_T = 0.629$;0.12556645229635377;0.13291004750682267;0.12556645229635377;0.13341766172002065;0.9944506104328524;0.09035532994923857;0.994447529150472;0.09086294416243655
$\pi_T = 0.707$;0.14087328175719566;0.14642225674353906;0.14087328175719566;0.14087328175719566;0.9955182072829132;0.09796954314720813;0.9960740325294447;0.09847715736040609
$\pi_T = 0.775$;0.15075200465091698;0.1679543878863679;0.15075200465091698;0.1694772305259618;0.9960339943342776;0.10761421319796954;0.9960272417707151;0.10913705583756345
$\pi_T = 0.830$;0.15076142131979695;0.20618356650779418;0.15076142131979695;0.20922925178698198;0.9959770114942529;0.12030456852791878;0.9959630911188004;0.1233502538071066
$\pi_T = 0.874$;0.15076142131979695;0.18740840743335754;0.15076142131979695;0.18893125007295145;0.9982425307557118;0.1350253807106599;0.9982394366197183;0.1365482233502538
$\pi_T = 0.908$;0.15076142131979695;0.1705366150754436;0.15076142131979695;0.1720594577150375;0.9994061757719715;0.14568527918781726;0.9994051160023796;0.14720812182741116
$\pi_T = 0.934$;0.15076142131979695;0.16040609137055836;0.15076142131979695;0.16243654822335024;1.0;0.16040609137055836;1.0;0.16243654822335024
$\pi_T = 0.953$;0.15076142131979695;0.1700507614213198;0.15076142131979695;0.17157360406091374;1.0;0.1700507614213198;1.0;0.1715736040609137
